query_id,max_metric_value,max_metric_value_depth
1051491,6.474235896161738,0
1051755,5.939029634984729,0
1051877,11.392253709687672,0
1052350,12.910491873697161,0
1052548,5.779642067948914,4
1052985,9.789614877205862,11
1053104,10.884715096414816,0
1053445,9.236095403304654,0
1053465,13.297344680931705,19
1054018,8.597565112065706,11
1055009,8.786088680512709,0
1055035,10.351035946316124,4
1055269,11.076788832901943,13
1055324,11.708618945853486,11
1055889,6.623034106280801,4
1056025,10.84685655717211,12
1056286,7.105165649733196,0
1056884,13.315213137479308,11
1057117,9.893332586076658,7
1057190,9.996937958453218,11
1057219,13.630678014265037,0
1057367,12.338265508262898,9
1057536,10.657175504919074,13
1057939,12.630678014265037,11
1058036,6.546907017772597,16
1058040,5.210226004755012,0
1058926,12.276128544699848,13
1059496,9.313413061707609,0
1059606,12.99974826069358,13
1059871,10.654339644383871,14
1060475,10.865563448705165,12
1062335,5.04874325232433,0
1062625,6.469904430761455,11
1062784,1.3562071871080221,3
1062818,12.981879804145976,7
1063787,4.931959749235439,19
1064294,7.963553917977691,15
1064655,12.487587081975601,10
1064656,7.233099858529701,11
1064934,4.197448841176097,18
1065184,13.630678014265037,0
1065339,10.5582233948603,5
1065587,13.630678014265037,0
1066270,12.261026457276989,14
1067223,7.620791100749694,2
1067587,4.543559338088345,11
1067844,9.008451646097026,8
1068703,9.225382728247945,0
1069131,13.243825207030495,18
1070452,10.504932174929564,14
1071270,13.630678014265037,11
1071513,8.095736165838533,9
1071874,5.860596036675301,0
1073399,13.630678014265037,0
1073540,3.591261420529648,20
1074453,10.7036135486264,12
1075557,10.771567903649357,11
1075871,10.833612245945112,9
1076910,13.630678014265037,0
1077432,11.331017105504706,3
1078138,13.008279854613816,16
1079515,9.04213079619572,3
1080057,7.86755580879431,0
1080749,6.748996447822394,0
1082240,7.475519087323785,0
1082270,12.75151836596528,14
1082351,8.041026122042574,0
1082478,13.274470827157014,18
1082488,13.040583192283167,13
1082495,10.5280631531302,12
1082868,13.630678014265037,0
1082949,10.227110675586584,8
1083227,8.00438884956728,0
1083254,13.040583192283167,14
1083470,5.704775851351334,0
1083521,12.884536579405916,12
1083589,7.3869034658758475,0
1083634,8.000862652874126,7
1083684,8.661626032339283,12
1083736,5.595106944734643,0
1083790,9.11777158462777,11
1084129,10.643579058782777,14
1084479,8.923273856194978,14
1084517,13.630678014265037,0
1084748,10.684461900916752,10
1084824,7.43849898306653,19
1084832,12.552548361629261,0
1084955,12.739553196619186,17
1085016,8.418715684550145,19
1085143,4.25292268996923,17
1085235,13.052548361629261,0
1085310,9.579124459700344,8
1085420,5.679673005895787,13
1085421,13.630678014265037,0
1085474,13.630678014265037,14
1085598,13.052548361629261,10
1085601,9.985503441025323,8
