Fold #,Percentile,Predicted Depth,Reranked All Metric Value,Initial Metric Value,Maximum Metric Value,Depth of Maximum Metric Value,Metric Value At Predicted Depth,Ratio (Metric at Depth / Reranked All),Ratio (Metric at Depth / Maximum Metric Value)
0,10,11,11.99974826069358,11.99974826069358,11.99974826069358,18,10.504093739944112,0.8753595085283047,0.8753595085283047
0,10,11,11.774570736748869,11.774570736748869,12.739553196619186,156,8.472085511897927,0.7195239386057817,0.6650221857189028
0,10,11,11.258790740070442,11.258790740070442,11.258790740070442,14,10.680661087434666,0.9486508217460521,0.9486508217460521
0,10,11,11.338710264439491,11.338710264439491,12.061977845523923,15,11.760947849859944,1.0372385902429022,0.9750430651159181
0,10,11,12.051203246072582,12.051203246072582,12.051203246072582,204,0.6223981596512211,0.051646142459182004,0.051646142459182004
0,10,11,11.60490123698269,11.60490123698269,11.60490123698269,14,11.315836410664804,0.975091142921864,0.975091142921864
0,10,11,11.910577769438769,11.910577769438769,11.910577769438769,859,9.486834542731753,0.7965049829130814,0.7965049829130814
0,10,11,12.02614831116142,12.02614831116142,12.02614831116142,34,10.525395771917577,0.8752092107619361,0.8752092107619361
0,10,11,12.031332225397405,12.031332225397405,12.031332225397405,224,11.534765800823264,0.9587272286001778,0.9587272286001778
0,10,15,12.86666812285831,12.86666812285831,12.86666812285831,106,10.007291773074938,0.777768702629118,0.777768702629118
0,10,15,12.630678014265037,12.630678014265037,13.630678014265037,57,13.315213137479308,1.0541962294059875,0.9768562593544076
0,10,15,12.666414927360249,12.666414927360249,12.954760380712608,25,12.496314685267723,0.9865707666243352,0.9646117965927467
0,10,15,12.421618608057804,12.421618608057804,12.421618608057804,901,6.163054574231909,0.49615551472768493,0.49615551472768493
0,10,15,12.725118315497438,12.725118315497438,13.014183141815328,356,10.530493790411953,0.8275360220098908,0.8091551867421369
0,10,15,12.441137493823682,12.441137493823682,12.441137493823682,113,10.98840636453298,0.8832316474267806,0.8832316474267806
0,10,15,12.692814977828087,12.692814977828087,12.692814977828087,640,5.043559338088346,0.3973554603055726,0.3973554603055726
0,10,15,12.540583192283169,12.540583192283169,12.540583192283169,136,11.004093739944114,0.8774786284832007,0.8774786284832007
0,10,15,12.66569555439472,12.66569555439472,13.040583192283169,340,5.876892671421679,0.4640007843377007,0.45066179823149016
0,10,15,12.630678014265037,12.630678014265037,12.669941124053397,267,2.4518926943052493,0.1941220171661483,0.1935204489348751
0,10,13,13.243825207030495,13.243825207030495,13.630678014265037,40,8.889899010650801,0.6712485910740947,0.6521978584885634
0,10,13,13.329648018601056,13.329648018601056,13.329648018601056,19,12.332362221061386,0.9251828858385464,0.9251828858385464
0,10,13,13.630678014265037,13.630678014265037,13.630678014265037,146,11.527060214986095,0.8456703476468725,0.8456703476468725
0,10,13,13.341613187947148,13.341613187947148,13.630678014265037,20,11.11214963974088,0.8328940048853782,0.8152308805263818
0,10,13,13.630678014265037,13.630678014265037,13.630678014265037,117,5.4304121453228875,0.39839633359688703,0.39839633359688703
0,10,13,13.630678014265037,13.630678014265037,13.630678014265037,17,13.341613187947148,0.9787930706003494,0.9787930706003494
0,10,13,13.630678014265037,13.630678014265037,13.630678014265037,22,13.014183141815328,0.9547715182029447,0.9547715182029447
0,10,13,13.341613187947148,13.341613187947148,13.630678014265037,282,9.720736191455847,0.728602759989893,0.7131513326983967
0,10,13,13.630678014265037,13.630678014265037,13.630678014265037,17,12.462453539647392,0.9142944706495852,0.9142944706495852
0,10,13,13.630678014265037,13.630678014265037,13.630678014265037,17,13.341613187947148,0.9787930706003494,0.9787930706003494
0,10,13,13.630678014265037,13.630678014265037,13.630678014265037,25,12.106246352539369,0.8881617143233601,0.8881617143233601
0,10,13,13.630678014265037,13.630678014265037,13.630678014265037,14,13.341613187947148,0.9787930706003494,0.9787930706003494
0,10,13,13.630678014265037,13.630678014265037,13.630678014265037,27,11.152891950063175,0.8182198962070146,0.8182198962070146
0,10,13,13.243825207030495,13.243825207030495,13.630678014265037,331,3.1925360652163084,0.24105845670037596,0.23421696718792673
0,10,13,13.630678014265037,13.630678014265037,13.630678014265037,29,12.391784982164106,0.9091099481035073,0.9091099481035073
0,10,13,13.329648018601056,13.329648018601056,13.630678014265037,49,9.666771961378048,0.725208343677823,0.7091923051268172
0,10,13,13.630678014265037,13.630678014265037,13.630678014265037,45,8.50438884956728,0.6239153210623202,0.6239153210623202
0,10,13,13.200001456191645,13.200001456191645,13.329648018601056,12,12.841613187947148,0.9728493766130314,0.9633872679929079
0,10,13,13.630678014265037,13.630678014265037,13.630678014265037,60,6.97758357584599,0.5119028979001394,0.5119028979001394
0,10,13,13.630678014265037,13.630678014265037,13.630678014265037,29,8.514892310742427,0.6246858961697473,0.6246858961697473
0,10,13,13.630678014265037,13.630678014265037,13.630678014265037,0,13.630678014265037,1.0,1.0
0,10,13,13.630678014265037,13.630678014265037,13.630678014265037,31,12.320397051715291,0.903872649535226,0.903872649535226
0,20,11,3.0070698857492903,3.0070698857492903,3.538553940861261,288,1.6309297535714575,0.5423650980978344,0.4609028944672523
0,20,11,3.18945462469975,3.18945462469975,3.18945462469975,774,1.9676107665890423,0.6169113526028827,0.6169113526028827
0,20,11,3.7533279132226793,3.7533279132226793,4.455645597242949,15,4.152145889803314,1.1062571631899334,0.9318842352211688
0,20,11,5.14527201342591,5.14527201342591,8.08511611204912,322,6.802071165547009,1.3220041909927989,0.8413077896815843
0,20,11,5.024407690378696,5.024407690378696,5.024407690378696,79,2.7073230812473543,0.5388342762136208,0.5388342762136208
0,20,11,1.2317065537373744,1.2317065537373744,2.9671660104124484,56,1.7782662555195734,1.4437418150644483,0.599314716223912
0,20,11,4.997288266945328,4.997288266945328,5.271918212141468,12,3.9904846203637314,0.798530004114207,0.7569321942767365
0,20,11,2.7201861405678747,2.7201861405678747,4.092919138072481,51,3.430676558073393,1.2611918379075315,0.8381979810353731
0,20,11,3.1567065308538043,3.1567065308538043,5.148089041191962,18,4.671548182954925,1.4798804188146677,0.9074334467752908
0,20,11,4.297596420238125,4.297596420238125,9.13420902987709,17,8.276549082987765,1.9258553558012252,0.9061046288645241
0,20,16,6.495452032393595,6.495452032393595,7.131473078933742,120,3.1418004528028325,0.4836923492213165,0.44055420500480624
0,20,16,6.388615819488755,6.388615819488755,9.148003145450357,113,8.620045287031537,1.349282149778941,0.9422870926010347
0,20,16,6.717295890504302,6.717295890504302,6.717295890504302,540,5.859024214874075,0.8722295861875764,0.8722295861875764
0,20,16,6.8326241644062335,6.8326241644062335,6.8326241644062335,138,5.467166010412448,0.8001561155511843,0.8001561155511843
0,20,16,6.922818895979957,6.922818895979957,6.922818895979957,861,4.431959749235439,0.6401958242485664,0.6401958242485664
0,20,16,6.8461611555535535,6.8461611555535535,7.484770054209548,93,4.648712314377457,0.6790246692639506,0.6210895298998466
0,20,16,6.864396850157386,6.864396850157386,8.562821099428277,0,8.24953977318468,1.2017865448725527,0.9634137718625799
0,20,16,6.846856557172109,6.846856557172109,11.37056884593225,13,11.37056884593225,1.6606991472636496,1.0
0,20,16,6.239566963927731,6.239566963927731,7.688923972781549,13,7.314036334893102,1.1722025546287278,0.9512431597430886
0,20,16,7.010254151571571,7.010254151571571,9.413998917962244,166,8.845377356638178,1.2617769863101476,0.9395982975694721
0,20,19,7.920982661428224,7.920982661428224,8.163401890222309,87,7.245877022108616,0.9147699637562545,0.8876050841974772
0,20,19,7.80163950154093,7.80163950154093,8.376242957483553,152,6.166580770925061,0.7904211377245869,0.7361988903886411
0,20,19,7.468966086184148,7.468966086184148,7.468966086184148,318,5.3610887033962795,0.7177819046886621,0.7177819046886621
0,20,19,8.216851134327708,8.216851134327708,9.220956172174708,138,6.974235896161738,0.8487723316569932,0.7563462797065769
0,20,19,7.461372836841218,7.461372836841218,7.461372836841218,23,7.061341898894345,0.9463864161871548,0.9463864161871548
