query_id	NQC	UEF	RSD	OddsRatio	WIG	Scaled NQC	QV-NQC Variant	DenseQPP	SMV	Sigma_max	Sigma_x	max_dcg_value_mono_1000	max_dcg_value_mono_1000_depth	initial_bm25_retrieved_dcg_value	mono_1000_reranked_all_dcg_value	max_dcg_value_mono_1000_duo_20	max_dcg_value_mono_1000_duo_20_depth	mono_1000_duo_20_reranked_all_dcg_value
1013045	112.8099	401.3694	9.416769	8.552263	13.328008	112.8099	112.8099	0.009314652	21.124228	2.5162926	2.3907862	12.630678014265037	237	12.630678014265037	12.630678014265037	13.630678014265037	14	13.630678014265037
1013424	12.200784	42.91872	0.8682687	8.229469	8.876053	12.200784	12.200784	0.011040905	6.5449276	0.87193227	0.85131466	9.17739201516746	566	8.619600530854944	8.619600530854944	8.619600530854944	0	7.110577817939654
1013615	8.036756	27.786972	1.0176928	7.113361	8.366912	8.036756	8.036756	0.009052072	4.9996924	0.7442423	0.7442423	9.522979148486067	181	9.522979148486069	9.522979148486069	9.522979148486067	0	7.006453338089485
1015483	6.9906955	24.905842	0.866454	8.357279	7.764304	6.9906955	6.9906955	0.012345917	4.743703	0.6988752	0.6988752	6.224482368867859	500	5.891149035534525	5.891149035534525	6.276837713626947	13	6.151436720876214
1015486	87.66433	300.46072	9.380385	9.3467655	9.494926	87.66433	87.66433	0.009783297	18.124453	1.9352258	1.9352258	12.86666812285831	106	12.86666812285831	12.86666812285831	12.91049187369716	10	12.528329392297893
1016815	504.75284	1757.1263	48.1025	18.056196	32.418846	504.75284	504.75284	0.0068189534	66.90945	6.3842134	4.595429	7.2930484526317185	13	6.483486863047501	6.483486863047501	7.163776416603094	10	7.123034106280801
1017028	9.050874	30.948816	0.4994659	10.516285	2.014864	9.050874	9.050874	0.010569664	5.607714	0.48868585	0.48868585	13.630678014265037	16	13.630678014265037	13.630678014265037	13.630678014265037	0	11.737888753550665
1017399	67.808685	248.58543	5.110318	8.747242	17.799246	67.808685	67.808685	0.00994265	14.420898	2.8109791	2.429015	11.152891950063175	75	11.152891950063175	11.152891950063175	11.152891950063175	0	11.152891950063175
1018610	29.787493	101.05232	2.607205	6.0610065	13.540283	29.787493	29.787493	0.008831607	10.055915	1.7699516	1.7699516	10.590754986500125	898	10.590754986500125	10.590754986500125	10.590754986500125	0	9.649107819603502
1019058	33.331944	120.00563	4.6426	9.648249	10.513965	33.331944	33.331944	0.009984549	12.0597515	1.36407	1.36407	12.38325338824387	65	11.067147745909661	11.067147745909661	11.136471187836268	4	10.232163983358054
1019198	43.544773	143.6523	6.260781	12.579477	13.213809	43.544773	43.544773	0.010635127	15.63221	1.6849021	1.6849021	13.630678014265037	90	13.630678014265037	13.630678014265037	13.630678014265037	0	13.630678014265037
1019264	30.645226	108.1918	3.2306745	10.543745	10.458427	30.645226	30.645226	0.0098910695	12.924445	1.1904602	1.1904602	6.5079083207347415	26	5.464263086904791	5.464263086904791	5.748996447822394	7	5.392789260714372
1019976	15.26176	56.637146	1.5777465	8.126731	8.1303005	15.26176	15.26176	0.009737846	6.9693847	0.89315766	0.89315766	13.630678014265037	143	13.630678014265037	13.630678014265037	13.630678014265037	0	13.630678014265037
1020066	94.617485	311.925	8.423862	9.029175	5.7979364	94.617485	94.617485	0.011513691	15.469867	2.5375993	2.1900694	5.804199158339332	14	5.613690518127743	5.613690518127743	6.766826919172778	9	6.451362042387049
1020147	375.70258	1434.8612	32.376305	16.64064	20.883461	375.70258	375.70258	0.0110119	49.02133	4.7585263	4.7017946	12.91049187369716	23	12.350230677608993	12.350230677608993	12.62187180355587	11	12.62187180355587
1020710	56.5055	205.86082	4.974544	7.0425024	11.275328	56.5055	56.5055	0.010186352	14.243783	1.6272624	1.6060387	10.132225618177587	305	9.950652873459951	9.950652873459951	10.519976315386558	4	9.606558954525523
1021277	16.424963	56.773758	0.720973	8.511282	11.408954	16.424963	16.424963	0.008889623	5.314091	2.9483905	1.1609114	13.630678014265037	91	12.598553193604586	12.598553193604586	12.797344680931705	16	12.797344680931705
