query_id,max_metric_value,max_metric_value_depth
1095110,12.739553196619186,16
1095638,11.910670390706061,985
1095656,9.91407752537929,683
1095686,10.477836722843168,797
1095754,9.479155397647219,32
1095821,11.84044658939937,44
1095875,6.826813498472017,12
1095927,13.630678014265037,77
1096044,13.630678014265037,20
1096092,12.090754986500125,457
1096097,12.569071702620187,245
1096266,13.630678014265037,54
1096318,13.341613187947148,215
1096395,13.630678014265037,40
1096499,10.753606825834458,20
1096584,4.210226004755012,31
1096713,6.579210355441949,894
1096895,13.630678014265037,19
1097016,8.404912454235133,214
1097114,12.653730385048625,24
1097182,13.341613187947148,402
1097191,13.341613187947148,19
1097213,12.531410832814451,195
1097262,10.099083845522786,663
1097337,13.014183141815327,594
1097422,6.710140109013407,73
1097445,10.00010529471138,10
1097525,12.56563812719433,309
1097611,9.603618045820644,248
1097908,13.630678014265037,402
1098006,13.014183141815327,51
1098036,8.599083845522784,136
1098356,6.719569592908069,772
1098736,7.1952604717150646,915
1098814,9.612173611087853,36
1098828,12.698718265029598,459
1098851,4.61596422053151,79
1098854,13.200001456191645,0
1098921,11.166593444369147,131
1099107,12.473440831493033,102
1099487,9.956726300049123,77
1099528,10.96418986460727,183
1099683,7.380240351105931,16
1099776,12.725118315497438,10
1100035,12.99974826069358,528
1100039,4.1342774332557095,2
1100209,11.86684663986721,179
1100219,11.67584441125491,672
1100293,8.970623803726982,14
1100405,9.770841805158142,143
1100442,10.601553557298438,21
1100454,5.927064465638636,303
1100467,12.815213137479308,354
1100646,13.630678014265037,134
1100691,12.954760380712607,79
1100797,13.630678014265037,12
1100827,2.78545273388313,11
1100952,13.630678014265037,18
1101002,11.834543302197858,933
1101211,4.8734590959958215,460
1101263,13.630678014265037,901
1101423,10.672496731570659,11
1101444,12.843794269083622,111
1101480,9.278902202149155,11
1101871,8.712698185936326,10
1101990,10.859660161503655,622
1102002,11.017795234250086,53
1102249,10.71804842974815,44
1102424,13.630678014265037,12
114451,13.040583192283167,345
114688,11.273837349933094,25
116491,13.341613187947148,123
117956,13.341613187947148,36
118658,13.630678014265037,386
119647,12.305962170593546,29
119755,5.767467684721259,468
1215,11.132225618177587,20
121719,13.315213137479308,24
128500,9.503897730572227,70
129341,13.630678014265037,231
129524,6.561341898894345,38
130670,13.630678014265037,16
131754,12.368911128389415,62
132263,13.274470827157014,38
135081,11.618524123871618,15
135243,12.041481082257596,21
135303,13.02614831116142,100
135321,13.630678014265037,381
135880,10.60155355729844,448
136341,13.329648018601056,240
137338,11.752416255939707,40
138272,10.744761082202142,175
138403,13.297344680931705,13
139574,13.630678014265037,16
13989,13.630678014265037,20
142831,10.71804842974815,284
144815,13.630678014265037,12
146055,12.12912020631406,974
147649,11.178785319959788,16
148186,13.630678014265037,36
149142,6.174489091659804,570
15177,8.80541884523126,411
152682,12.079846302071529,6
15486,12.397688269365617,170
154968,9.834158001010241,104
154970,11.982058321154875,22
155234,11.033513306533877,590
155778,13.630678014265037,11
157753,7.591464155427224,8
158129,13.243825207030495,47
