query_id	NQC	UEF	RSD	OddsRatio	WIG	Scaled NQC	QV-NQC Variant	DenseQPP	SMV	Sigma_max	Sigma_x	max_dcg_value_monoelectra	max_dcg_value_monoelectra_depth	initial_splade_retrieved_dcg_value	monoelectra_reranked_all_dcg_value
1020066	94.617485	311.925	8.423862	9.029175	5.7979364	94.617485	94.617485	0.011513691	15.469867	2.5375993	2.1900694	6.49289487715041	0	6.49289487715041	5.935058682114983
1020147	375.70258	1434.8612	32.376305	16.64064	20.883461	375.70258	375.70258	0.0110119	49.02133	4.7585263	4.7017946	10.815299033220914	19	10.6694152910541	10.213239041892951
1020710	56.5055	205.86082	4.974544	7.0425024	11.275328	56.5055	56.5055	0.010186352	14.243783	1.6272624	1.6060387	10.709430940086309	3	10.578501186514849	10.007113256066038
1021277	16.424963	56.773758	0.720973	8.511282	11.408954	16.424963	16.424963	0.008889623	5.314091	2.9483905	1.1609114	12.652072667505792	19	12.473440831493033	11.579753680804235
1021382	286.85373	1042.2897	17.066519	10.632436	9.497402	286.85373	286.85373	0.010052529	33.857098	3.2524145	2.9141004	10.449933500494424	15	9.889491317991693	10.449933500494424
1021449	104.566345	356.85962	8.219758	11.091427	10.956435	104.566345	104.566345	0.009528043	15.36837	3.9090743	2.0134375	13.630678014265037	11	13.200001456191645	13.630678014265037
1023101	208.7694	716.58044	16.195263	14.954256	12.27134	208.7694	208.7694	0.0098702945	25.114897	3.8320656	2.7069929	9.262495453772496	0	9.262495453772495	9.233013962788096
1023109	247.52765	883.0619	32.915913	16.442982	15.22035	247.52765	247.52765	0.01306909	30.367983	4.4373436	3.3956099	10.090121509276203	7	9.75678817594287	10.090121509276203
1023133	11.2152405	41.761898	1.5837418	7.1477385	13.595792	11.2152405	11.2152405	0.011377807	6.5459285	0.98507	0.98507	10.479993832632667	20	7.994554142419168	10.479993832632669
1023363	78.11923	283.88663	8.01994	11.163647	8.538668	78.11923	78.11923	0.008315938	17.810328	1.7545756	1.726776	9.509801017773738	10	7.703142351697177	9.509801017773738
1024311	1796.8716	6298.5996	116.75776	20.326227	16.640263	1796.8716	1796.8716	0.008698903	107.73233	7.240249	4.78219	9.032853388557326	10	8.0280679720491	9.032853388557326
1025772	73.33602	247.87411	7.2404594	11.656295	15.702576	73.33602	73.33602	0.008719112	19.326372	2.307955	2.307955	13.630678014265037	12	12.38247209088371	13.630678014265037
1026433	18.171825	65.22942	8.714879	11.099328	7.926511	18.171825	18.171825	0.011684905	9.396906	0.8275179	0.8275179	6.47758357584599	11	6.084215752669034	6.188518749528102
1026527	54.997456	189.43404	3.9318852	10.9517	17.088589	54.997456	54.997456	0.01036145	15.610516	1.9180993	1.9180993	7.470623803726982	22	6.9541244340830275	7.470623803726982
1027723	40.532852	141.0609	6.2324843	8.478797	10.302123	40.532852	40.532852	0.009918925	11.456168	1.4412918	1.4412918	8.601553557298438	23	8.296801355569418	8.31248873098055
1028599	2.0606124	7.236599	0.48588702	4.760619	10.823799	2.0606124	2.0606124	0.009074517	2.2307143	0.5240974	0.5240974	8.919613574524574	576	7.704322717553501	8.919613574524574
1028676	16.569437	55.439053	1.5789808	9.838726	5.984132	16.569437	16.569437	0.009675158	7.8056197	0.8785042	0.87308013	12.029674507854573	115	10.398744754283117	12.029674507854573
1028924	20.188612	73.64583	2.2641969	7.8521366	8.972932	20.188612	20.188612	0.01057509	9.010758	1.0982385	1.0982385	11.692814977828087	0	11.692814977828087	11.684376005175144
1029090	225.18695	812.642	12.624139	18.55428	16.89996	225.18695	225.18695	0.009740562	29.30478	5.4340806	5.070504	12.597941464863682	16	12.320841807891888	11.963578135866367
1029559	55.190804	199.73581	4.149063	9.797578	11.828983	55.190804	55.190804	0.010908258	14.680395	1.7407672	1.6919676	7.966822990244896	0	7.966822990244896	7.222972471461266
1029618	5.6959524	20.783566	1.466959	9.284643	24.994108	5.6959524	5.6959524	0.010128765	6.000382	0.8034641	0.8034641	13.05254836162926	13	11.783821703634633	13.052548361629261
1030588	57.127365	200.9048	5.178918	15.915926	6.17327	57.127365	57.127365	0.008957323	17.779963	1.5054324	1.4497544	4.868812559203726	12	3.564461324608123	4.461410822038439
1032081	35.30045	125.24958	3.9345524	7.6304226	9.942373	35.30045	35.30045	0.009441723	11.345866	1.4356271	1.4346657	3.912629584516888	79	3.4904846203637314	3.5971647077311593
1032826	9.361885	32.404724	0.99044484	5.283757	10.589549	9.361885	9.361885	0.010610358	4.9771276	1.046121	1.0158362	12.653730385048624	24	11.432331283114513	12.653730385048625
1033296	34.39567	128.73013	4.418967	8.301852	6.2149954	34.39567	34.39567	0.009634072	9.740522	1.7594923	1.5131955	13.297344680931705	0	13.297344680931705	12.669941124053397
1033403	13.116572	47.619217	1.2825078	7.194987	3.8471584	13.116572	13.116572	0.010903424	6.766299	0.7852035	0.7852035	13.028618022937074	15	12.341613187947148	11.976874406918892
1033727	81.44699	298.45535	4.879861	14.551682	14.081057	81.44699	81.44699	0.009728757	18.412472	3.6825159	2.0171428	1.3154648767857289	72	0.6309297535714575	1.3010299956639813
103383	29.986984	106.00283	3.171632	6.031587	7.7226486	29.986984	29.986984	0.009710458	9.606362	1.3119117	1.3119117	12.727588027273091	25	10.819558616729841	12.727588027273093
1033927	73.064285	277.35245	9.163075	9.367151	6.9110904	73.064285	73.064285	0.009468175	14.010629	2.0711558	1.5119797	7.376806775680073	13	6.489953968445532	7.376806775680073
1034263	99.76575	368.9017	15.6002035	9.508404	9.574753	99.76575	99.76575	0.009635016	19.656046	2.0534816	2.0534816	6.989390150249013	18	5.835311926113934	6.122195671295349
1034783	51.157127	175.47823	4.4472904	11.447149	14.027566	51.157127	51.157127	0.009992575	15.813058	2.007217	1.8133954	12.985406000839124	23	12.07560073241285	12.985406000839125
